Time,Amplitude,Frequency
0,0.0,1.0
1007100000,70.0,110.0
1007200000,0.0,
1107100000,70.0,
1107200000,0.0,
1207100000,70.0,
1207200000,0.0,
1208100000,0.0,1.0
2218800000,70.0,110.0
2218900000,0.0,
2318800000,70.0,
2318900000,0.0,
2418800000,70.0,
2418900000,0.0,
2419800000,0.0,1.0
3434100000,70.0,110.0
3434200000,0.0,
3534100000,70.0,
3534200000,0.0,
3634100000,70.0,
3634200000,0.0,
3635100000,0.0,1.0
4653000000,70.0,110.0
4653100000,0.0,
4753000000,70.0,
4753100000,0.0,
4853000000,70.0,
4853100000,0.0,
4854000000,0.0,1.0
5875500000,70.0,110.0
5875600000,0.0,
5975500000,70.0,
5975600000,0.0,
6075500000,70.0,
6075600000,0.0,
6076500000,0.0,1.0
7101600000,70.0,110.0
7101700000,0.0,
7201600000,70.0,
7201700000,0.0,
7301600000,70.0,
7301700000,0.0,
